Serializing 860001 elements to byte tensors and concatenating them all ...
Serialized dataset takes 505.05 MiB
Worker 1 obtains a dataset of length=860001 from its local leader.
  time      PID  rss     pss     uss     shared    shared_file
------  -------  ------  ------  ------  --------  -------------
 24524  1533911  371.2M  238.8M  189.6M  181.6M    181.6M
  time      PID  rss    pss    uss    shared    shared_file
------  -------  -----  -----  -----  --------  -------------
 24524  1533910  1.7G   1.5G   1.5G   181.6M    181.6M
  time      PID  rss     pss     uss     shared    shared_file
------  -------  ------  ------  ------  --------  -------------
 24525  1533910  1.7G    1.5G    1.5G    181.7M    181.7M
 24525  1534032  210.7M  66.8M   38.4M   172.3M    60.2M
 24525  1534033  219.4M  74.6M   46.6M   172.8M    62.1M
 24525  1534034  221.8M  77.0M   49.2M   172.6M    62.1M
 24525  1534035  222.7M  77.7M   49.9M   172.9M    62.4M
 24525  1533911  374.2M  221.4M  192.6M  181.6M    181.6M
 24525  1534036  226.4M  81.3M   53.5M   172.9M    62.5M
 24525  1534037  227.0M  81.9M   54.1M   172.9M    62.5M
 24525  1534038  233.9M  89.0M   61.2M   172.7M    62.8M
 24525  1534039  234.8M  89.8M   62.0M   172.8M    62.8M
  time      PID  rss     pss     uss     shared    shared_file
------  -------  ------  ------  ------  --------  -------------
 24527  1533910  1.7G    1.5G    1.5G    188.9M    188.9M
 24527  1534032  251.9M  96.7M   67.8M   184.1M    74.9M
 24527  1534033  252.5M  96.8M   67.8M   184.6M    75.4M
 24527  1534034  252.8M  96.9M   67.8M   185.0M    75.8M
 24527  1534035  252.7M  96.8M   67.8M   184.9M    75.7M
 24527  1533911  374.2M  220.0M  192.6M  181.6M    181.6M
 24527  1534036  252.8M  96.6M   67.6M   185.2M    75.8M
 24527  1534037  252.9M  96.6M   67.6M   185.3M    75.9M
 24527  1534038  253.3M  96.7M   67.6M   185.7M    76.3M
 24527  1534039  253.2M  96.6M   67.6M   185.6M    76.2M
  time      PID  rss     pss     uss     shared    shared_file
------  -------  ------  ------  ------  --------  -------------
 24528  1533910  1.7G    1.5G    1.5G    196.3M    196.3M
 24528  1534032  259.3M  97.5M   67.8M   191.4M    82.2M
 24528  1534033  259.8M  97.6M   67.8M   191.9M    82.8M
 24528  1534034  260.0M  97.7M   67.8M   192.2M    83.0M
 24528  1534035  259.9M  97.6M   67.8M   192.1M    82.9M
 24528  1533911  374.2M  220.0M  192.6M  181.6M    181.6M
 24528  1534036  260.1M  97.4M   67.6M   192.5M    83.1M
 24528  1534037  260.2M  97.4M   67.6M   192.6M    83.2M
 24528  1534038  260.8M  97.5M   67.6M   193.2M    83.7M
 24528  1534039  260.6M  97.4M   67.6M   193.0M    83.6M
  time      PID  rss     pss     uss     shared    shared_file
------  -------  ------  ------  ------  --------  -------------
 24529  1533910  1.7G    1.5G    1.5G    205.7M    205.7M
 24529  1534032  268.7M  98.5M   67.8M   200.9M    91.7M
 24529  1534033  269.3M  98.7M   67.8M   201.5M    92.3M
 24529  1534034  270.0M  98.9M   67.8M   202.2M    93.0M
 24529  1534035  269.8M  98.7M   67.8M   202.0M    92.8M
 24529  1533911  374.2M  220.0M  192.6M  181.6M    181.6M
 24529  1534036  270.1M  98.5M   67.6M   202.5M    93.1M
 24529  1534037  270.3M  98.5M   67.6M   202.7M    93.2M
 24529  1534038  270.6M  98.6M   67.6M   203.1M    93.6M
 24529  1534039  270.6M  98.5M   67.6M   203.0M    93.6M
  time      PID  rss     pss     uss     shared    shared_file
------  -------  ------  ------  ------  --------  -------------
 24531  1533910  1.7G    1.5G    1.5G    213.6M    213.6M
 24531  1534032  276.8M  99.4M   67.8M   208.9M    99.8M
 24531  1534033  277.1M  99.5M   67.8M   209.3M    100.1M
 24531  1534034  277.5M  99.6M   67.8M   209.7M    100.5M
 24531  1534035  277.4M  99.5M   67.8M   209.6M    100.4M
 24531  1533911  374.2M  220.0M  192.6M  181.6M    181.6M
 24531  1534036  277.9M  99.4M   67.6M   210.3M    100.9M
 24531  1534037  278.1M  99.4M   67.6M   210.5M    101.1M
 24531  1534038  278.8M  99.5M   67.6M   211.2M    101.7M
 24531  1534039  278.6M  99.5M   67.6M   211.1M    101.6M
  time      PID  rss     pss     uss     shared    shared_file
------  -------  ------  ------  ------  --------  -------------
 24532  1533910  1.7G    1.5G    1.5G    223.8M    223.8M
 24532  1534032  286.9M  100.6M  67.8M   219.1M    109.9M
 24532  1534033  287.4M  100.7M  67.8M   219.6M    110.4M
 24532  1534034  287.9M  100.8M  67.8M   220.1M    110.9M
 24532  1534035  287.8M  100.7M  67.8M   220.0M    110.8M
 24532  1533911  374.2M  220.0M  192.6M  181.6M    181.6M
